Acquired Medium google / others,city,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,Pune,1/28/2019,6/9/2020,478,3262,164,193,3,156,33,83,0,498,17333.278736606,11
Normal,Mumbai,10/14/2019,2/17/2020,112,3263,505,64,852,156,333,80,0,126,21553.383151334,62
Normal,Other,1/9/2019,7/5/2019,169,3265,948,34,952,45,386,176,0,177,57384.439824734,15
Normal,Bengaluru,1/22/2019,4/7/2019,56,3267,285,42,730,18,496,162,0,75,45781.162997949,118
Normal,Mumbai,6/8/2020,8/6/2020,56,3271,475,55,184,103,39,83,0,59,1045.939556003,31
Normal,Bengaluru,6/1/2019,12/5/2020,534,3272,528,188,541,86,396,82,0,553,17876.146334967,75
Normal,Bengaluru,7/31/2019,9/11/2019,28,3275,875,178,360,183,5,35,0,42,37289.327635555,7
Normal,Mumbai,6/10/2019,11/22/2020,506,3276,390,25,507,170,298,33,0,531,8987.916306991,187
Normal,Pune,4/3/2019,2/11/2020,309,3277,798,90,628,128,212,11,0,314,31400.206166727,192
Normal,Bengaluru,7/18/2019,4/22/2020,253,3278,99,145,1,120,368,87,0,279,56478.727812377,47
Normal,Bengaluru,10/20/2019,1/19/2020,84,3279,848,125,350,92,12,21,0,91,36913.991112705,92
Normal,Mumbai,3/9/2019,3/9/2019,0,3281,782,81,275,61,69,43,1,0,61647.362757523,86
Normal,Other,5/2/2019,7/16/2019,56,3282,491,181,853,9,218,46,0,75,16773.467781677,136
Normal,Pune,6/24/2020,7/17/2020,0,3283,688,93,668,89,322,1,0,23,38723.550376661,184
Normal,Mumbai,11/19/2019,1/24/2020,56,3284,109,8,106,170,477,118,0,66,9504.869630587,20
Normal,Pune,2/6/2019,3/24/2019,28,3285,733,59,382,111,380,44,0,46,1585.207707166,26
Normal,Mumbai,3/16/2019,6/1/2019,56,3287,139,11,43,27,304,79,0,77,9734.275313555,194
Normal,Other,9/27/2020,10/29/2020,28,3288,241,86,1,125,81,77,0,32,18561.472386311,97
Normal,Mumbai,2/18/2019,7/12/2020,506,3289,235,167,420,98,314,73,0,510,51307.224073577,194
Normal,Bengaluru,1/29/2019,3/17/2020,393,3292,647,55,172,93,314,164,0,413,27446.867452908,164
Normal,Mumbai,1/12/2020,4/2/2020,56,3294,5,96,487,174,245,147,0,81,54749.003322538,71
Normal,Bengaluru,12/12/2019,11/7/2020,309,3295,517,80,171,81,45,122,0,331,38543.910699344,41
Normal,Pune,10/13/2019,12/2/2020,393,3297,441,119,108,51,474,192,0,416,32595.726212171,65
Normal,Other,1/17/2020,2/18/2020,28,3298,827,180,422,24,340,91,0,32,4614.167260895,87
Normal,Other,6/6/2019,10/20/2019,112,3299,164,8,541,86,235,31,0,136,56834.949322198,34
Normal,Bengaluru,10/25/2020,11/13/2020,0,3300,776,19,168,43,462,9,0,19,55919.144618709,141
Normal,Mumbai,9/6/2019,4/26/2020,225,3301,525,15,117,45,446,85,0,233,157.913166137,84
Normal,Mumbai,4/26/2019,10/1/2019,141,3302,863,198,903,153,224,23,0,158,44709.958576192,199
Normal,Other,6/17/2020,11/29/2020,141,3306,279,190,795,123,75,7,0,165,21726.511598302,122
Normal,Mumbai,5/31/2019,6/23/2020,365,3308,680,105,788,104,59,82,0,389,48151.016662661,151
Normal,Bengaluru,6/22/2019,12/28/2019,169,3310,906,99,103,55,102,54,0,189,14531.909404960,121
Normal,Mumbai,3/18/2020,7/28/2020,112,3311,608,188,20,180,234,69,0,132,64333.007133738,77
Normal,Other,2/23/2019,10/9/2019,225,3313,734,175,679,40,468,1,0,228,47944.788652478,38
Normal,Mumbai,4/8/2019,8/19/2020,478,3314,505,121,584,96,374,95,0,499,51222.396664950,116
Normal,Pune,1/28/2019,7/4/2020,506,3315,932,194,48,87,119,188,0,523,53696.791846492,113
Normal,Pune,5/18/2019,7/29/2019,56,3316,101,111,484,96,418,64,0,72,22061.665904784,170
Normal,Other,6/5/2020,11/18/2020,141,3317,667,94,421,161,134,1,0,166,98.372142905,68
Normal,Pune,6/20/2019,7/11/2019,0,3319,247,57,95,181,462,57,0,21,5306.926681958,181
Normal,Other,1/9/2019,6/5/2020,506,3320,6,163,24,107,97,171,0,513,31340.762229907,1
