Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,,1/7/2019,1/7/2019,0,567,,,1,0,4,,0,0,35522.331,0
Normal,,11/23/2018,10/5/2018,-56,1777,3,4,7,13,16,,0,-49,16251.738,5
Normal,Mumbai,11/22/2018,3/8/2019,84,1778,32,30,279,38,401,49,1,106,48032.113,28
Normal,Mumbai,11/25/2018,8/28/2019,253,1780,227,57,342,87,226,11,1,276,25157.275,49
Normal,,,9/14/2018,,1781,2,,2,8,14,,,,6104.008,4
Normal,Mumbai,11/24/2018,1/18/2019,28,1782,2,1,5,11,76,8,1,55,9646.426,2
Normal,,11/22/2018,,,1783,,,,14,16,,,,1995.352,2
Normal,Mumbai,11/28/2018,7/24/2019,225,1788,2,1,8,84,82,6,1,238,28115.706,67
Normal,Mumbai,3/14/2019,4/8/2019,0,1789,23,,26,10,3,,1,25,1943.991,11
Normal,Mumbai,12/4/2018,,,1791,203,15,473,91,106,1,,,12309.465,45
Normal,,,10/18/2018,,1794,,,,4,4,,,,648.427,2
Normal,Mumbai,12/6/2018,3/5/2019,84,1795,84,1,93,81,105,21,1,89,19537.4,28
Normal,,,11/12/2018,,1799,,,,13,14,1,,,3354.579,15
Normal,,,,,1802,44,1,43,0,4,,,,1851.413,6
Normal,,12/22/2018,1/17/2019,0,1805,20,2,27,65,63,7,1,26,22990.347,11
Normal,,,10/29/2018,,1809,,,,0,,,,,48.914,0
Normal,Mumbai,11/24/2018,12/27/2018,28,1810,4,8,20,65,101,13,1,33,21106.017,28
Normal,,11/23/2018,1/10/2019,28,1813,74,18,94,74,220,6,1,48,35815.944,28
Normal,,11/23/2018,,,1814,,,,11,21,4,,,3751.64,7
Normal,,11/22/2018,1/12/2019,28,1815,10,8,28,23,37,5,1,51,8709.446,24
Normal,,,11/15/2018,,1817,11,1,13,0,2,,,,301.8,39
Normal,,,,,1818,20,4,73,0,7,1,,,268.247,2
Normal,Mumbai,11/23/2018,,,1819,,,,107,37,4,,,13051.634,75
Normal,Mumbai,11/22/2018,,,1834,268,5,365,108,59,5,,,13274.989,12
Normal,,12/3/2018,12/12/2018,0,1903,13,5,18,17,14,1,1,9,1542.896,0
Normal,,,,,1907,47,,56,0,3,,,,146.161,0
Normal,,,11/11/2018,,1908,16,5,21,5,14,,,,914.388,2
Normal,,11/22/2018,,,1914,25,2,28,13,14,5,,,3538.219,14
Normal,,,10/1/2018,,1915,5,1,6,0,1,,,,43.725,1
Normal,,,10/31/2018,,1924,,,,0,1,,,,562.456,2
Normal,Pune,11/23/2018,,,1928,92,25,355,16,44,6,,,4619.583,8
Normal,Delhi,12/7/2018,5/1/2019,141,1939,134,2,135,18,26,4,1,145,4758.38,8
Normal,,,1/7/2019,,1960,1,,1,0,1,,,,358.828,2
Normal,,,9/5/2018,,1963,,,,3,8,,,,2747.054,11
Normal,Mumbai,11/23/2018,2/10/2019,56,1967,7,1,8,55,36,23,1,79,8961.134,20
Normal,Mumbai,11/22/2018,,,1969,130,10,163,80,110,8,,,18626.332,46
Normal,,,9/13/2018,,1980,23,3,50,0,24,3,,,3385.465,0
Normal,,12/3/2018,2/15/2019,56,1983,56,9,67,33,44,5,1,74,6168.469,19
Normal,Mumbai,12/9/2018,1/24/2019,28,1984,18,,38,66,47,11,1,46,12518.89,19
Normal,,,9/18/2018,,1985,,,,2,5,,,,4093.15,1
Normal,Mumbai,12/16/2018,7/9/2019,197,1986,147,8,166,22,12,1,1,205,3697.309,9
Normal,,1/6/2019,1/25/2019,0,1988,13,,14,53,13,2,1,19,6656.242,15
Normal,,,9/14/2018,,1989,,,,0,,,,,176.06,0
Normal,,,9/17/2018,,1992,,,,0,,,,,1313.395,0
Normal,Mumbai,12/28/2018,3/9/2019,56,1996,105,24,138,60,86,10,1,71,24778.209,32
Normal,Mumbai,12/6/2018,9/29/2019,281,1997,40,6,65,58,84,12,1,297,24232.549,22
Normal,,11/22/2018,11/22/2018,0,1999,11,1,15,38,94,13,0,0,11380.729,33
Normal,Pune,,9/21/2018,,2000,,,,2,,,,,1771.786,2
Normal,,,,,2001,,,,0,3,,,,123.861,1
Normal,,,,,2002,2,1,3,0,5,,,,1841.262,5
Normal,,11/22/2018,11/15/2018,-28,2003,81,22,106,70,52,2,0,-7,11009.69,31
Normal,Mumbai,12/10/2018,9/3/2019,253,2005,11,2,27,121,194,6,1,267,43284.221,57
Normal,Mumbai,12/30/2018,4/6/2019,84,2006,,,7,61,29,2,1,97,8337.607,23
Normal,,,9/24/2018,,2007,,,,0,2,,,,587.068,2
Normal,,,,,2008,5,,5,0,11,,,,4578.965,6
Normal,,,9/19/2018,,2009,,,,2,2,,,,1075.284,2
Normal,,,10/10/2018,,2018,,,,0,1,,,,426.622,0
Normal,,,10/16/2018,,2021,5,2,7,3,17,,,,6964.313,6
Normal,,,9/25/2018,,2022,,,2,1,8,,,,2236.424,1
Normal,Mumbai,2/5/2019,11/26/2018,-84,2023,128,,127,13,15,2,0,-71,2821.297,15
Normal,,,9/20/2018,,2025,,,,3,,,,,341.621,0
Normal,,11/22/2018,12/2/2018,0,2026,,,,18,28,4,1,10,7229.752,16
Normal,,11/25/2018,1/8/2019,28,2037,5,1,6,41,50,1,1,44,10687.721,32
Normal,Mumbai,12/14/2018,2/9/2019,56,2038,67,5,83,67,44,4,1,57,11280.061,20
Normal,Mumbai,1/23/2019,2/16/2019,0,2039,13,2,17,64,32,1,1,24,8524.003,23
Normal,Mumbai,11/29/2018,9/10/2019,281,2040,,,2,68,26,,1,285,5860.67,43
Normal,,11/26/2018,9/26/2018,-84,2041,1,,1,18,32,8,0,-61,6445.679,17
Normal,Mumbai,4/19/2019,6/18/2019,56,2042,1,,3,90,229,113,1,60,53742.051,50
Normal,,12/15/2018,2/8/2019,28,2043,3,2,6,70,36,4,1,55,12600.603,22
Normal,,,,,2044,,,,0,1,,,,866.834,0
Normal,,,11/16/2018,,2045,43,4,55,5,6,,,,1518.838,4
Normal,Mumbai,11/28/2018,3/25/2019,112,2046,124,7,132,83,68,13,1,117,17895.024,38
Normal,,11/26/2018,2/1/2019,56,2047,71,3,98,14,28,9,1,67,6953.175,15
Normal,,,12/4/2018,,2048,,,,0,1,,,,167.534,0
Normal,Mumbai,2/16/2019,6/14/2019,112,2049,395,45,599,57,67,5,1,118,9988.636,22
Normal,,11/27/2018,2/1/2019,56,2050,36,20,56,16,22,,1,66,4844.823,16
Normal,,,4/10/2019,,2051,2,,3,5,9,,,,808.806,1
Normal,,,11/6/2018,,2052,,1,2,3,5,,,,985.514,1
Normal,,11/23/2018,,,2053,46,,46,85,18,7,,,6490.338,46
Normal,,,,,2055,12,10,22,3,21,1,,,4252.787,7
Normal,Mumbai,12/5/2018,7/9/2019,197,2056,194,,268,73,41,2,1,216,7997.27,27
